Campaign_Name,Time,Payout,Clicks,Partner
Shopee SG - CPS,H-August'2023,8.7042,2427,Pokket_XO
Shopee SG - CPS,H-August'2023,8.7042,2427,Pokket_XO
Shopee SG - CPS,I-September'2023,5.1246,1645,Pokket_XO
Shopee SG - CPS,I-September'2023,5.1246,1645,Pokket_XO
Shopee SG - CPS,J-October'2023,37.2279,1753,Pokket_XO
Shopee SG - CPS,J-October'2023,37.2279,1753,Pokket_XO
Shopee SG - CPS,K-November'2023,11.993,1907,Pokket_XO
Shopee SG - CPS,K-November'2023,11.993,1907,Pokket_XO
Shopee SG - CPS,L-December'2023,0.293,3078,Pokket_XO
Shopee SG - CPS,L-December'2023,0.293,3078,Pokket_XO
Shopee TH - CPS,A-January'2023,72.848,33160,Pokket_FS
Shopee TH - CPS,B-February'2023,65.255,19940,Pokket_FS
Shopee TH - CPS,C-March'2023,38.4635,19035,Pokket_FS
Shopee TH - CPS,D-April'2023,38.4635,19035,Pokket_FS
Shopee TH - CPS,E-May'2023,33.1964,13343,Pokket_FS
Shopee TH - CPS,F-June'2023,29.4902,18416,Pokket_FS
Shopee TH - CPS,A-January'2023,10.2837,12882,Pokket_XO
Shopee TH - CPS,A-January'2023,10.2837,12882,Pokket_XO
Shopee TH - CPS,B-February'2023,49.9301,33163,Pokket_XO
Shopee TH - CPS,B-February'2023,49.9301,33163,Pokket_XO
Shopee TH - CPS,C-March'2023,46.2539,31702,Pokket_XO
Shopee TH - CPS,C-March'2023,46.2539,31702,Pokket_XO
Shopee TH - CPS,D-April'2023,20.2932,13241,Pokket_XO
Shopee TH - CPS,D-April'2023,20.2932,13241,Pokket_XO
Shopee TH - CPS,E-May'2023,29.2176,23828,Pokket_XO
Shopee TH - CPS,E-May'2023,29.2176,23828,Pokket_XO
Shopee TH - CPS,F-June'2023,31.6923,27465,Pokket_XO
Shopee TH - CPS,F-June'2023,31.6923,27465,Pokket_XO
Shopee TH - CPS,G-July'2023,15.1003,11491,Pokket_XO
Shopee TH - CPS,G-July'2023,15.1003,11491,Pokket_XO
Shopee TH - CPS,H-August'2023,6.1492,8569,Pokket_XO
Shopee TH - CPS,H-August'2023,6.1492,8569,Pokket_XO
Shopee TH - CPS,I-September'2023,10.6464,7810,Pokket_XO
Shopee TH - CPS,I-September'2023,10.6464,7810,Pokket_XO
Shopee TH - CPS,J-October'2023,8.5568,10085,Pokket_XO
Shopee TH - CPS,J-October'2023,8.5568,10085,Pokket_XO
Shopee TH - CPS,K-November'2023,12.6667,5735,Pokket_XO
Shopee TH - CPS,K-November'2023,12.6667,5735,Pokket_XO
Shopee TH - CPS,L-December'2023,8.0423,5943,Pokket_XO
Shopee TH - CPS,L-December'2023,8.0423,5943,Pokket_XO
Shopee.co.id CPS - Indonesia,E-May'2023,0,757,Vcom_old
Shopee.com.my CPS - Malaysia,H-August'2023,0,5821,Vcom_new
Shopee.com.my CPS - Malaysia,I-September'2023,0,9851,Vcom_new
Shopee.com.my CPS - Malaysia,J-October'2023,0,4541,Vcom_new
Shopee.com.my CPS - Malaysia,K-November'2023,0,4171,Vcom_new
Shopee.com.my CPS - Malaysia,L-December'2023,0,3480,Vcom_new
Shopify CPA,A-January'2023,0,12530,Pokket_FS
Shopify CPA,B-February'2023,0,17389,Pokket_FS
Shopify CPA,L-December'2023,0,11681,Pokket_XO
Shopify CPA,L-December'2023,0,11681,Pokket_XO
Shopify CPA,M-January'2024,0,52413,Pokket_XO
Shopify CPA,M-January'2024,0,52413,Pokket_XO
Shopify CPA,N-February'2024,0,38125,Pokket_XO
Shopify CPA,N-February'2024,0,38125,Pokket_XO
Shutterstock WW,G-July'2023,0,18736,Admitad_FS
Shutterstock WW,H-August'2023,0,2281,Admitad_FS
Shutterstock WW,I-September'2023,0,1576,Admitad_FS
Shutterstock WW,J-October'2023,0,1203,Admitad_FS
Shutterstock WW,K-November'2023,0,889,Admitad_FS
Shutterstock WW,M-January'2024,0,2316,Admitad_FS
Shutterstock WW,N-February'2024,0,1944,Admitad_FS
SquareSpace CPA (Offline),A-January'2023,0,8434,Pokket_FS
SquareSpace CPA (Offline),N-February'2024,0,12609,Pokket_FS
TataCliq [CPS] IN,K-November'2023,0,660,Admitad_FS
TataCliq [CPS] IN,L-December'2023,0,818,Admitad_FS
Temu Global - CPS,J-October'2023,0,526,Pokket_XO
Temu Global - CPS,J-October'2023,0,526,Pokket_XO
Temu Global - CPS,K-November'2023,2.3228,14862,Pokket_XO
